p_bat,player_name
4185,Nathan Bracken
4433,Jeremy Bray
4451,George Bailey
4493,Dean Brownlie
4508,Doug Bollinger
4578,Michael Clarke
4582,Stuart Clark
4818,Mark Cosgrove
4864,Dan Christian
4882,Dan Cullen
5017,Xavier Doherty
5112,Brett Dorey
5236,Callum Ferguson
5334,Aaron Finch
5390,Adam Gilchrist
5392,Jason Gillespie
5472,Brett Geeves
5560,Brad Haddin
5593,Nathan Hauritz
5605,Shane Harwood
5616,Matthew Hayden
5674,Brad Hodge
5681,Brad Hogg
5702,James Hopes
5766,David Hussey
5779,Ryan Harris
5939,Michael Hussey
5941,Ben Hilfenhaus
5961,Moises Henriques
6033,Mitchell Johnson
6038,Trent Johnston
6060,Phil Jaques
6126,Michael Kasprowicz
6128,Simon Katich
6235,Jason Krejza
6278,Brett Lee
6285,Darren Lehmann
6291,Mick Lewis
6480,Graham Manou
6513,Damien Martyn
6565,Glenn McGrath
6683,Shaun Marsh
6903,Clint McKay
6943,Marcus North
6950,Brendan Nash
6981,Dirk Nannes
7133,Ricky Ponting
7252,Tim Paine
7502,Luke Ronchi
7702,Andrew Symonds
7898,Peter Siddle
8076,Shaun Tait
8119,Adam Voges
8166,Shane Warne
8180,Shane Watson
8291,Cameron White
8432,Steven Welsh
8476,Kabir Ali
8608,James Anderson
8845,Tim Ambrose
8917,Moeen Ali
9042,Gareth Batty
9062,Ian Bell
9117,Ian Blackwell
9254,Dougie Brown
9310,Tim Bresnan
10582,Ravi Bopara
10617,Stuart Broad
10656,Michael Carberry
10712,Glen Chapple
10772,Paul Collingwood
11724,Rikki Clarke
11728,Alastair Cook
11974,Jamie Dalrymple
12450,Steven Davies
12454,Joe Denly
12461,Jade Dernbach
12856,Andrew Flintoff
13368,Ashley Giles
13411,Darren Gough
14020,Gavin Hamilton
14054,Steve Harmison
14153,David Hemp
14236,Matthew Hoggard
15501,Geraint Jones
15555,Simon Jones
16281,Jon Lewis
16362,Mal Loye
16406,Michael Lumb
16932,Dimitri Mascarenhas
17134,Tim Murtagh
